Row ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost
9956,11-12-2024,07-06-2030,Standard Class,100230,United States,New York City,New York,10035,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
9961,11-12-2024,07-06-2030,Standard Class,100230,United States,New York City,New York,10035,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
430,04-05-2021,25-10-2026,Same Day,155271,United States,Middletown,Connecticut,6457,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
5231,17-07-2023,11-01-2029,Standard Class,121671,United States,Springfield,Missouri,65807,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
5232,17-07-2023,11-01-2029,Standard Class,121671,United States,Springfield,Missouri,65807,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1
5233,17-07-2023,11-01-2029,Standard Class,121671,United States,Springfield,Missouri,65807,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,27.92,8,19.92,8
5235,17-07-2023,11-01-2029,Standard Class,121671,United States,Springfield,Missouri,65807,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1
5237,17-07-2023,11-01-2029,Standard Class,121671,United States,Springfield,Missouri,65807,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6
5462,26-08-2023,22-02-2029,Standard Class,114601,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10,4.4
5464,26-08-2023,22-02-2029,Standard Class,114601,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3
5469,26-08-2023,22-02-2029,Standard Class,114601,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
5475,26-08-2023,22-02-2029,Standard Class,114601,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3
5477,26-08-2023,22-02-2029,Standard Class,114601,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3
7419,15-04-2024,11-10-2029,Standard Class,114412,United States,Concord,North Carolina,28027,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
659,22-06-2021,18-12-2026,Standard Class,154963,United States,Chester,Pennsylvania,19013,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18,5,12,6
660,22-06-2021,18-12-2026,Standard Class,154963,United States,Chester,Pennsylvania,19013,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
665,22-06-2021,18-12-2026,Standard Class,154963,United States,Chester,Pennsylvania,19013,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
1760,01-12-2021,26-05-2027,First Class,143210,United States,Lowell,Massachusetts,1852,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4
1761,01-12-2021,26-05-2027,First Class,143210,United States,Lowell,Massachusetts,1852,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
1766,01-12-2021,26-05-2027,First Class,143210,United States,Lowell,Massachusetts,1852,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4
3701,17-11-2022,16-05-2028,Standard Class,110863,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18,5,12,6
3704,17-11-2022,16-05-2028,Standard Class,110863,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6
3708,17-11-2022,16-05-2028,Standard Class,110863,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8
5147,04-07-2023,26-12-2028,First Class,147137,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18,5,12,6
5148,04-07-2023,26-12-2028,First Class,147137,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7
5150,04-07-2023,26-12-2028,First Class,147137,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4
5151,04-07-2023,26-12-2028,First Class,147137,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4
5575,04-09-2023,28-02-2029,Standard Class,131205,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
5581,04-09-2023,28-02-2029,Standard Class,131205,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3
5582,04-09-2023,28-02-2029,Standard Class,131205,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84
5588,04-09-2023,28-02-2029,Standard Class,131205,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,15,4,9.8,5.2
9332,05-11-2024,02-05-2030,Standard Class,157196,United States,San Diego,California,92105,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
120,18-02-2021,17-08-2026,Standard Class,152905,United States,Arlington,Texas,76017,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4
162,07-03-2021,29-08-2026,First Class,156587,United States,Seattle,Washington,98103,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1
165,07-03-2021,29-08-2026,First Class,156587,United States,Seattle,Washington,98103,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6
168,07-03-2021,29-08-2026,First Class,156587,United States,Seattle,Washington,98103,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6
6176,10-11-2023,04-05-2029,First Class,140935,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
6209,10-11-2023,04-05-2029,First Class,140935,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
3230,18-09-2022,16-03-2028,Standard Class,150511,United States,Des Moines,Washington,98198,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
4434,13-03-2023,07-09-2028,Standard Class,108637,United States,Waynesboro,Virginia,22980,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
4437,13-03-2023,07-09-2028,Standard Class,108637,United States,Waynesboro,Virginia,22980,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
4442,13-03-2023,07-09-2028,Standard Class,108637,United States,Waynesboro,Virginia,22980,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10,4.4
5504,29-08-2023,23-02-2029,Standard Class,161207,United States,Concord,New Hampshire,3301,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3
5520,01-09-2023,23-02-2029,First Class,129714,United States,New York City,New York,10009,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1
5522,01-09-2023,23-02-2029,First Class,129714,United States,New York City,New York,10009,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8
5526,01-09-2023,23-02-2029,First Class,129714,United States,New York City,New York,10009,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
5527,01-09-2023,23-02-2029,First Class,129714,United States,New York City,New York,10009,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4
5530,01-09-2023,23-02-2029,First Class,129714,United States,New York City,New York,10009,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3
7588,07-05-2024,02-11-2029,Standard Class,159688,United States,Los Angeles,California,90004,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1
8735,16-09-2024,14-03-2030,Standard Class,134173,United States,Philadelphia,Pennsylvania,19143,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4
9329,05-11-2024,30-04-2030,First Class,118213,United States,Greenwood,Indiana,46142,Other,Interior,OTH-GUM-21000,Wonka Gum,3.75,3,1.95,1.8
9331,05-11-2024,30-04-2030,First Class,118213,United States,Greenwood,Indiana,46142,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3
9333,05-11-2024,30-04-2030,First Class,118213,United States,Greenwood,Indiana,46142,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,37.5,10,24.5,13
9340,06-11-2024,06-05-2030,Standard Class,107174,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
9345,06-11-2024,06-05-2030,Standard Class,107174,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4
9365,06-11-2024,06-05-2030,Standard Class,107174,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
1922,20-12-2021,15-06-2027,First Class,103100,United States,Indianapolis,Indiana,46203,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3
1925,20-12-2021,15-06-2027,First Class,103100,United States,Indianapolis,Indiana,46203,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2
3573,07-11-2022,04-05-2028,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18,5,12.5,5.5
3574,07-11-2022,04-05-2028,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3
3575,07-11-2022,04-05-2028,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,32.5,10,21.1,11.4
3582,07-11-2022,04-05-2028,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
3583,07-11-2022,04-05-2028,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
3584,07-11-2022,04-05-2028,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3
4282,02-02-2023,30-07-2028,Standard Class,147431,United States,New York City,New York,10011,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
5829,25-09-2023,22-03-2029,Standard Class,122245,United States,Phoenix,Arizona,85023,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6
6675,17-12-2023,12-06-2029,Standard Class,117121,United States,Detroit,Michigan,48205,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,46.8,13,31.2,15.6
7677,18-05-2024,10-11-2029,First Class,121643,United States,Portland,Oregon,97206,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4
7823,05-06-2024,27-11-2029,First Class,126788,United States,Pearland,Texas,77581,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3
8268,03-08-2024,28-01-2030,Standard Class,140781,United States,Bloomington,Illinois,61701,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
8784,19-09-2024,18-03-2030,Standard Class,153822,United States,Phoenix,Arizona,85023,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13,4,8.44,4.56
8786,19-09-2024,18-03-2030,Standard Class,153822,United States,Phoenix,Arizona,85023,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4
8789,19-09-2024,18-03-2030,Standard Class,153822,United States,Phoenix,Arizona,85023,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
8791,19-09-2024,18-03-2030,Standard Class,153822,United States,Phoenix,Arizona,85023,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
9546,19-11-2024,16-05-2030,Standard Class,101042,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84
9555,19-11-2024,16-05-2030,Standard Class,101042,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
156,05-03-2021,29-08-2026,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
157,05-03-2021,29-08-2026,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6
158,05-03-2021,29-08-2026,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
159,05-03-2021,29-08-2026,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
160,05-03-2021,29-08-2026,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
3141,10-09-2022,07-03-2028,Standard Class,168186,United States,Tulsa,Oklahoma,74133,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6
4275,31-01-2023,25-07-2028,Second Class,147970,United States,Dallas,Texas,75220,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
8559,04-09-2024,01-03-2030,Standard Class,120761,United States,Long Beach,New York,11561,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8
9544,19-11-2024,14-05-2030,Second Class,158876,United States,Carrollton,Texas,75007,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
9553,19-11-2024,14-05-2030,Second Class,158876,United States,Carrollton,Texas,75007,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10,4.4
9562,19-11-2024,14-05-2030,Second Class,158876,United States,Carrollton,Texas,75007,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10,4.4
9565,19-11-2024,14-05-2030,Second Class,158876,United States,Carrollton,Texas,75007,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1
1592,16-11-2021,13-05-2027,Standard Class,139500,United States,Decatur,Illinois,62521,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2
1933,20-12-2021,14-06-2027,Second Class,126634,Canada,Vancouver,British Columbia,V5K,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18,5,12,6
2304,28-03-2022,23-09-2027,Standard Class,131534,United States,Los Angeles,California,90036,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18,5,12.5,5.5
2306,28-03-2022,23-09-2027,Standard Class,131534,United States,Los Angeles,California,90036,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3
2528,10-05-2022,05-11-2027,Standard Class,144043,United States,Louisville,Colorado,80027,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,15,4,9.8,5.2
2744,25-06-2022,22-12-2027,Standard Class,115945,United States,Los Angeles,California,90045,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2
2746,25-06-2022,22-12-2027,Standard Class,115945,United States,Los Angeles,California,90045,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
2750,25-06-2022,22-12-2027,Standard Class,115945,United States,Los Angeles,California,90045,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
7310,30-03-2024,22-09-2029,Second Class,126634,United States,Lakewood,California,90712,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18,5,12,6
7409,14-04-2024,08-10-2029,First Class,144932,United States,Toledo,Ohio,43615,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6
7410,14-04-2024,08-10-2029,First Class,144932,United States,Toledo,Ohio,43615,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6
7413,14-04-2024,08-10-2029,First Class,144932,United States,Toledo,Ohio,43615,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3
8718,15-09-2024,13-03-2030,Standard Class,145737,United States,Lebanon,Tennessee,37087,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5
9830,05-12-2024,01-06-2030,Standard Class,131212,United States,Bellevue,Washington,98006,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84
9833,05-12-2024,01-06-2030,Standard Class,131212,United States,Bellevue,Washington,98006,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3
10054,20-12-2024,14-06-2030,Second Class,126634,Canada,Vancouver,British Columbia,V5K,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2
796,22-07-2021,18-01-2027,Standard Class,122679,United States,Los Angeles,California,90008,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,22.5,6,14.7,7.8
2521,08-05-2022,31-10-2027,First Class,142055,United States,New York City,New York,10009,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2
3881,03-12-2022,30-05-2028,Standard Class,110093,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
3883,03-12-2022,30-05-2028,Standard Class,110093,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4
5113,26-06-2023,19-12-2028,Second Class,158708,United States,Plano,Texas,75023,Sugar,Interior,SUG-SWE-91000,SweeTARTS,3,2,1.4,1.6
6028,23-10-2023,19-04-2029,Standard Class,151323,United States,Seattle,Washington,98103,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5
6709,20-12-2023,15-06-2029,Standard Class,151155,United States,Jackson,Mississippi,39212,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13,4,8.44,4.56
6710,20-12-2023,15-06-2029,Standard Class,151155,United States,Jackson,Mississippi,39212,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
7795,02-06-2024,27-11-2029,Standard Class,127705,United States,Lorain,Ohio,44052,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2
7796,02-06-2024,27-11-2029,Standard Class,127705,United States,Lorain,Ohio,44052,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1
7907,16-06-2024,12-12-2029,Standard Class,155873,United States,Carlsbad,New Mexico,88220,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
7909,16-06-2024,12-12-2029,Standard Class,155873,United States,Carlsbad,New Mexico,88220,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13,4,8.44,4.56
7910,16-06-2024,12-12-2029,Standard Class,155873,United States,Carlsbad,New Mexico,88220,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2
8150,17-07-2024,11-01-2030,Standard Class,126662,United States,Los Angeles,California,90036,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2
1622,18-11-2021,18-05-2027,Standard Class,115336,United States,Chicago,Illinois,60623,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5
2162,18-02-2022,15-08-2027,Standard Class,111234,United States,Los Angeles,California,90004,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3
